1: P: started
583: O 2327: started
584: O 517: started
585: O 518: started
586: O 519: started
587: O 2349: started
588: O 520: started
589: O 521: started
590: O 522: started
591: O 2364: started
592: O 524: started
593: O 2376: started
594: O 2380: started
595: O 526: started
596: O 2389: started
597: O 2394: started
598: O 67: arrived to 0
599: O 529: started
600: O 530: started
601: O 531: started
602: O 532: started
603: O 528: arrived to 1
604: O 533: started
605: O 534: started
606: O 2428: started
607: O 536: started
608: O 68: arrived to 0
609: O 537: started
610: O 538: started
611: O 539: started
612: O 2453: started
613: O 11: arrived to 0
614: O 72: started
615: O 2461: started
616: O 543: started
617: O 544: started
618: O 545: started
619: O 541: arrived to 1
620: O 546: started
621: O 547: started
622: O 2479: started
623: O 549: started
624: O 73: arrived to 0
625: O 550: started
626: O 2488: started
627: O 552: started
628: O 553: started
629: O 71: arrived to 1
630: O 554: started
631: O 555: started
632: O 556: started
633: O 2501: started
634: O 558: started
635: O 74: arrived to 0
636: O 559: started
637: O 2511: started
638: O 2514: started
639: O 562: started
640: O 75: arrived to 1
641: O 563: started
642: O 564: started
643: O 565: started
644: O 76: arrived to 1
645: O 566: started
646: O 567: started
647: O 568: started
648: O 569: started
649: O 571: started
650: O 572: started
651: O 8: arrived to 1
652: O 2568: started
653: O 2576: started
654: O 574: started
655: O 575: started
656: O 78: arrived to 0
657: O 576: started
658: O 577: started
659: O 578: started
660: O 579: started
661: O 79: arrived to 1
662: O 2613: started
663: O 581: started
664: O 2622: started
665: O 2626: started
666: O 2630: started
667: O 586: started
668: O 587: started
669: O 2642: started
670: O 589: started
671: O 583: started
672: O 81: started
673: O 2656: started
674: O 591: started
675: O 592: started
676: O 593: started
677: O 2671: started
678: O 595: started
679: O 2678: started
680: O 2682: started
681: O 597: started
682: O 598: started
683: O 2691: started
684: O 2695: started
685: O 600: started
686: O 601: started
687: O 602: started
688: O 603: started
689: O 83: arrived to 0
690: O 604: started
691: O 605: started
692: O 606: started
693: O 607: started
694: O 84: arrived to 1
695: O 85: started
696: O 609: started
697: O 610: started
698: O 611: started
699: O 612: started
700: O 608: arrived to 0
701: O 613: started
702: O 614: started
703: O 615: started
704: O 616: started
705: O 86: arrived to 1
706: O 2775: started
707: O 618: started
708: O 2784: started
709: O 620: started
710: O 2793: started
711: O 621: started
712: O 622: started
713: O 623: started
714: O 624: started
715: O 89: arrived to 0
716: O 625: started
717: O 626: started
718: O 2826: started
719: O 87: started
720: O 90: arrived to 0
721: O 630: started
722: O 2840: started
723: O 631: started
724: O 632: started
725: O 2852: started
726: O 2856: started
727: O 634: started
728: O 2865: started
729: O 2869: started
730: O 2873: started
731: O 637: started
732: O 638: started
733: O 639: started
734: O 640: started
735: O 641: started
736: O 92: arrived to 0
737: O 642: started
738: O 643: started
739: O 2909: started
740: O 645: started
741: O 93: arrived to 1
742: O 646: started
743: O 647: started
744: O 2922: started
745: O 94: arrived to 1
